From,To,Time,Price
GOVIND PURI,HARKESH NAGAR OKHLA,3,10
HARKESH NAGAR OKHLA,JASOLA-APOLLO,2,10
JASOLA-APOLLO,SARITA VIHAR,2,10
TAGORE GARDEN,RAJOURI GARDEN,2,10
RAJOURI GARDEN,RAMESH NAGAR,2,10
RAMESH NAGAR,MOTI NAGAR,2,10
MOTI NAGAR,KIRTI NAGAR,2,10
KIRTI NAGAR,SHADIPUR,2,10
SHADIPUR,PATEL NAGAR,2,10
PATEL NAGAR,RAJENDRA PLACE,2,10
RAJENDRA PLACE,KAROL BAGH,2,10
KAROL BAGH,JHANDEWALAN,2,10
JHANDEWALAN,RAMAKRISHNA ASHRAM MARG,2,10
RAMAKRISHNA ASHRAM MARG,RAJIV CHOWK,2,10
RAJIV CHOWK,BARAKHAMBA ROAD,2,10
BARAKHAMBA ROAD,MANDI HOUSE,2,10
MANDI HOUSE,SUPREME COURT,2,10
SUPREME COURT,INDRAPRASTHA,2,10
INDRAPRASTHA,YAMUNA BANK,3,10
YAMUNA BANK,AKSHARDHAM,3,10
AKSHARDHAM,MAYUR VIHAR -I,3,10
MAYUR VIHAR -I,MAYUR VIHAR EXTENSION,2,10
MAYUR VIHAR EXTENSION,NEW ASHOK NAGAR,2,10
NEW ASHOK NAGAR,NOIDA SECTOR-15,2,10
NOIDA SECTOR-15,NOIDA SECTOR-16,2,10
NOIDA SECTOR-16,NOIDA SECTOR-18,2,10
NOIDA SECTOR-18,BOTANICAL GARDEN,2,10
BOTANICAL GARDEN,GOLF COURSE,3,10
GOLF COURSE,NOIDA CITY CENTRE,2,10
NOIDA CITY CENTRE,SECTOR - 34 NOIDA,2,10
SECTOR - 34 NOIDA,SECTOR - 52 NOIDA,2,10
SECTOR - 52 NOIDA,SECTOR - 61 NOIDA,2,10
SECTOR - 61 NOIDA,SECTOR - 59 NOIDA,2,10
SECTOR - 59 NOIDA,SECTOR - 62 NOIDA,2,10
SECTOR - 62 NOIDA,NOIDA ELECTRONIC CITY,2,10
YAMUNA BANK,LAXMI NAGAR,3,10
LAXMI NAGAR,NIRMAN VIHAR,3,10
NIRMAN VIHAR,PREET VIHAR,2,10
PREET VIHAR,KARKARDUMA,2,10
KARKARDUMA,ANAND VIHAR ISBT,2,10
ANAND VIHAR ISBT,KAUSHAMBI,2,10
KAUSHAMBI,VAISHALI,2,10
